ano_dado,codigo_ibge,variavel,valor,valor_original,status_valor,source_id,ano_enem,defasagem_anos
2010,3306156,impostos_liquidos_mil_reais,-12914.518,-12914.518,observado,ibge_pib_2010_2023,2010,0
2010,3501509,impostos_liquidos_mil_reais,-537.745,-537.745,observado,ibge_pib_2010_2023,2010,0
2010,3508009,impostos_liquidos_mil_reais,-361.944,-361.944,observado,ibge_pib_2010_2023,2010,0
2010,3510906,impostos_liquidos_mil_reais,-172.743,-172.743,observado,ibge_pib_2010_2023,2010,0
2010,3512605,impostos_liquidos_mil_reais,-1647.995,-1647.995,observado,ibge_pib_2010_2023,2010,0
2010,3513207,impostos_liquidos_mil_reais,-3914.242,-3914.242,observado,ibge_pib_2010_2023,2010,0
2010,3513306,impostos_liquidos_mil_reais,-1427.238,-1427.238,observado,ibge_pib_2010_2023,2010,0
2010,3516606,impostos_liquidos_mil_reais,-191.758,-191.758,observado,ibge_pib_2010_2023,2010,0
2010,3521705,impostos_liquidos_mil_reais,-15088.399,-15088.399,observado,ibge_pib_2010_2023,2010,0
2010,3525409,impostos_liquidos_mil_reais,-466.972,-466.972,observado,ibge_pib_2010_2023,2010,0
2010,3527801,impostos_liquidos_mil_reais,-360.331,-360.331,observado,ibge_pib_2010_2023,2010,0
2010,3532157,impostos_liquidos_mil_reais,-923.577,-923.577,observado,ibge_pib_2010_2023,2010,0
2010,3533809,impostos_liquidos_mil_reais,-1025.519,-1025.519,observado,ibge_pib_2010_2023,2010,0
2010,3537156,impostos_liquidos_mil_reais,-501.427,-501.427,observado,ibge_pib_2010_2023,2010,0
2010,3539707,impostos_liquidos_mil_reais,-331.356,-331.356,observado,ibge_pib_2010_2023,2010,0
2010,3543105,impostos_liquidos_mil_reais,-2636.045,-2636.045,observado,ibge_pib_2010_2023,2010,0
2010,3543501,impostos_liquidos_mil_reais,-88.438,-88.438,observado,ibge_pib_2010_2023,2010,0
2010,3551207,impostos_liquidos_mil_reais,-437.283,-437.283,observado,ibge_pib_2010_2023,2010,0
2010,3554201,impostos_liquidos_mil_reais,-1080.171,-1080.171,observado,ibge_pib_2010_2023,2010,0
2010,3554607,impostos_liquidos_mil_reais,-63.643,-63.643,observado,ibge_pib_2010_2023,2010,0
2011,1300144,impostos_liquidos_mil_reais,-894.054,-894.054,observado,ibge_pib_2010_2023,2011,0
2011,3302056,impostos_liquidos_mil_reais,-658.389,-658.389,observado,ibge_pib_2010_2023,2011,0
2011,3306156,impostos_liquidos_mil_reais,-9878.639,-9878.639,observado,ibge_pib_2010_2023,2011,0
2011,3512605,impostos_liquidos_mil_reais,-1407.012,-1407.012,observado,ibge_pib_2010_2023,2011,0
2011,3513306,impostos_liquidos_mil_reais,-441.104,-441.104,observado,ibge_pib_2010_2023,2011,0
2011,3532157,impostos_liquidos_mil_reais,-171.308,-171.308,observado,ibge_pib_2010_2023,2011,0
2011,3533809,impostos_liquidos_mil_reais,-672.97,-672.970,observado,ibge_pib_2010_2023,2011,0
2011,3543105,impostos_liquidos_mil_reais,-744.482,-744.482,observado,ibge_pib_2010_2023,2011,0
2011,3551207,impostos_liquidos_mil_reais,-398.007,-398.007,observado,ibge_pib_2010_2023,2011,0
2011,3554201,impostos_liquidos_mil_reais,-995.893,-995.893,observado,ibge_pib_2010_2023,2011,0
2012,1300144,impostos_liquidos_mil_reais,-630.579,-630.579,observado,ibge_pib_2010_2023,2012,0
2012,2509800,impostos_liquidos_mil_reais,-1150.203,-1150.203,observado,ibge_pib_2010_2023,2012,0
2012,3306156,impostos_liquidos_mil_reais,-7761.346,-7761.346,observado,ibge_pib_2010_2023,2012,0
2012,3512605,impostos_liquidos_mil_reais,-737.698,-737.698,observado,ibge_pib_2010_2023,2012,0
2012,3513306,impostos_liquidos_mil_reais,-396.537,-396.537,observado,ibge_pib_2010_2023,2012,0
2012,3521705,impostos_liquidos_mil_reais,-2653.23,-2653.230,observado,ibge_pib_2010_2023,2012,0
2012,3525409,impostos_liquidos_mil_reais,-29.636,-29.636,observado,ibge_pib_2010_2023,2012,0
2012,3533809,impostos_liquidos_mil_reais,-52.56,-52.560,observado,ibge_pib_2010_2023,2012,0
2012,3543105,impostos_liquidos_mil_reais,-831.663,-831.663,observado,ibge_pib_2010_2023,2012,0
2013,1300144,impostos_liquidos_mil_reais,-4896.051,-4896.051,observado,ibge_pib_2010_2023,2013,0
2013,2509800,impostos_liquidos_mil_reais,-382.699,-382.699,observado,ibge_pib_2010_2023,2013,0
2013,3306156,impostos_liquidos_mil_reais,-564.834,-564.834,observado,ibge_pib_2010_2023,2013,0
2013,3512605,impostos_liquidos_mil_reais,-324.782,-324.782,observado,ibge_pib_2010_2023,2013,0
2013,3525409,impostos_liquidos_mil_reais,-602.367,-602.367,observado,ibge_pib_2010_2023,2013,0
2013,3543105,impostos_liquidos_mil_reais,-687.736,-687.736,observado,ibge_pib_2010_2023,2013,0
2013,3551207,impostos_liquidos_mil_reais,-49.905,-49.905,observado,ibge_pib_2010_2023,2013,0
2013,3554201,impostos_liquidos_mil_reais,-901.53,-901.530,observado,ibge_pib_2010_2023,2013,0
2014,1301506,impostos_liquidos_mil_reais,-20.68,-20.680,observado,ibge_pib_2010_2023,2014,0
2014,1303601,impostos_liquidos_mil_reais,-2302.426,-2302.426,observado,ibge_pib_2010_2023,2014,0
2014,2305100,impostos_liquidos_mil_reais,-42.964,-42.964,observado,ibge_pib_2010_2023,2014,0
2014,3306156,impostos_liquidos_mil_reais,-3433.126,-3433.126,observado,ibge_pib_2010_2023,2014,0
2014,3512605,impostos_liquidos_mil_reais,-192.727,-192.727,observado,ibge_pib_2010_2023,2014,0
2014,3543105,impostos_liquidos_mil_reais,-131.454,-131.454,observado,ibge_pib_2010_2023,2014,0
2014,3554201,impostos_liquidos_mil_reais,-792.214,-792.214,observado,ibge_pib_2010_2023,2014,0
2015,1303601,impostos_liquidos_mil_reais,-1472.386,-1472.386,observado,ibge_pib_2010_2023,2015,0
2015,3306156,impostos_liquidos_mil_reais,-6738.998,-6738.998,observado,ibge_pib_2010_2023,2015,0
2015,3554201,impostos_liquidos_mil_reais,-679.858,-679.858,observado,ibge_pib_2010_2023,2015,0
2016,3306156,impostos_liquidos_mil_reais,-14174.838,-14174.838,observado,ibge_pib_2010_2023,2016,0
2016,3554201,impostos_liquidos_mil_reais,-98.253,-98.253,observado,ibge_pib_2010_2023,2016,0
2012,2404507,pib_mil_reais,-19046.434,-19046.434,observado,ibge_pib_2010_2023,2012,0
2012,2404507,pib_per_capita_reais,-1459.83,-1459.83,observado,ibge_pib_2010_2023,2012,0
