ano_dado,variavel,linhas,nao_ausentes,minimo,maximo,ausentes
2011,vab_agropecuaria_mil_reais,5565,5565,0.0,996288.552,0
2011,vab_industria_mil_reais,5565,5565,-885041.885,62577555.051,0
2011,vab_servicos_mil_reais,5565,5565,1226.506,312593327.364,0
2011,vab_total_mil_reais,5565,5565,7816.786,404473495.246,0
2012,cempre_pessoal_assalariado_ate2021,5570,5565,0.0,5239502.0,5
2012,cempre_pessoal_ocupado_ate2021,5570,5563,5.0,6062016.0,7
2012,cempre_remuneracoes_mil_reais_ate2021,5570,5563,8.0,182963920.0,7
2012,cempre_salario_medio_salarios_minimos_ate2021,5570,5565,0.0,9.4,5
2012,cempre_unidades_locais_ate2021,5570,5567,1.0,599434.0,3
2012,educ_abandono_fundamental_anos_finais_pct,5565,5565,0.0,32.7,0
2012,educ_abandono_fundamental_anos_iniciais_pct,5565,5565,0.0,18.7,0
2012,educ_abandono_fundamental_pct,5565,5565,0.0,20.6,0
2012,educ_abandono_medio_pct,5565,5553,0.0,100.0,12
2012,educ_aprovacao_fundamental_anos_finais_pct,5565,5565,46.2,100.0,0
2012,educ_aprovacao_fundamental_anos_iniciais_pct,5565,5565,62.4,100.0,0
2012,educ_aprovacao_fundamental_pct,5565,5565,59.5,100.0,0
2012,educ_aprovacao_medio_pct,5565,5553,0.0,100.0,12
2012,educ_reprovacao_fundamental_anos_finais_pct,5565,5565,0.0,42.2,0
2012,educ_reprovacao_fundamental_anos_iniciais_pct,5565,5565,0.0,35.3,0
2012,educ_reprovacao_fundamental_pct,5565,5565,0.0,34.7,0
2012,educ_reprovacao_medio_pct,5565,5553,0.0,48.2,12
2012,impostos_liquidos_mil_reais,5565,5565,-7761.346,101430123.726,0
2012,pib_mil_reais,5565,5565,-19046.434,538877121.413,0
2012,pib_per_capita_reais,5565,5565,-1459.83,777099.83,0
2012,populacao,5571,5570,807.0,11376685.0,1
2012,vab_administracao_publica_mil_reais,5565,5565,5020.893,60179416.257,0
2012,vab_agropecuaria_mil_reais,5565,5565,0.0,1621107.712,0
2012,vab_industria_mil_reais,5565,5565,-2498387.587,63105175.747,0
2012,vab_servicos_mil_reais,5565,5565,1459.111,342783373.334,0
2012,vab_total_mil_reais,5565,5565,-358826.563,437446997.686,0
2013,cempre_pessoal_assalariado_ate2021,5570,5570,3.0,5281006.0,0
2013,cempre_pessoal_ocupado_ate2021,5570,5570,13.0,6099645.0,0
2013,cempre_remuneracoes_mil_reais_ate2021,5570,5570,30.0,201301606.0,0
2013,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.4,9.8,0
2013,cempre_unidades_locais_ate2021,5570,5570,7.0,618713.0,0
2013,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,44.5,0
2013,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,14.0,0
2013,educ_abandono_fundamental_pct,5570,5570,0.0,22.3,0
2013,educ_abandono_medio_pct,5570,5560,0.0,43.8,10
2013,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,39.5,100.0,0
2013,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,67.4,100.0,0
2013,educ_aprovacao_fundamental_pct,5570,5570,58.1,100.0,0
2013,educ_aprovacao_medio_pct,5570,5560,42.2,100.0,10
2013,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,55.3,0
2013,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,29.9,0
2013,educ_reprovacao_fundamental_pct,5570,5570,0.0,36.2,0
2013,educ_reprovacao_medio_pct,5570,5560,0.0,47.4,10
2013,impostos_liquidos_mil_reais,5570,5570,-4896.051,106469218.771,0
2013,pib_mil_reais,5570,5570,4198.94,582079726.489,0
2013,pib_per_capita_reais,5570,5570,301.6,717343.67,0
2013,populacao,5571,5570,825.0,11821873.0,1
2013,vab_administracao_publica_mil_reais,5570,5570,5495.396,66783401.57,0
2013,vab_agropecuaria_mil_reais,5570,5570,0.0,1305435.672,0
2013,vab_industria_mil_reais,5570,5570,-2897193.285,66882689.993,0
2013,vab_servicos_mil_reais,5570,5570,1590.981,372699138.12,0
2013,vab_total_mil_reais,5570,5570,-510593.061,475610507.718,0
2014,cempre_pessoal_assalariado_ate2021,5570,5570,35.0,5285492.0,0
2014,cempre_pessoal_ocupado_ate2021,5570,5570,45.0,6067672.0,0
2014,cempre_remuneracoes_mil_reais_ate2021,5570,5570,370.0,221358510.0,0
2014,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.4,8.4,0
2014,cempre_unidades_locais_ate2021,5570,5570,6.0,599084.0,0
2014,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,28.8,0
2014,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,14.6,0
2014,educ_abandono_fundamental_pct,5570,5570,0.0,18.5,0
2014,educ_abandono_medio_pct,5570,5560,0.0,51.2,10
2014,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,38.0,100.0,0
2014,educ_aprovacao_fundamental_anos_iniciais_pct,5570,5570,66.2,100.0,0
2014,educ_aprovacao_fundamental_pct,5570,5570,63.4,100.0,0
2014,educ_aprovacao_medio_pct,5570,5560,38.1,100.0,10
2014,educ_reprovacao_fundamental_anos_finais_pct,5570,5570,0.0,43.3,0
2014,educ_reprovacao_fundamental_anos_iniciais_pct,5570,5570,0.0,30.7,0
2014,educ_reprovacao_fundamental_pct,5570,5570,0.0,31.9,0
2014,educ_reprovacao_medio_pct,5570,5560,0.0,52.1,10
2014,impostos_liquidos_mil_reais,5570,5570,-3433.126,111044209.474,0
2014,pib_mil_reais,5570,5570,11714.788,621917371.65,0
2014,pib_per_capita_reais,5570,5570,3081.72,815697.76,0
2014,populacao,5571,5570,822.0,11895893.0,1
2014,vab_administracao_publica_mil_reais,5570,5570,6370.507,73725855.841,0
2014,vab_agropecuaria_mil_reais,5570,5570,0.0,1684344.091,0
2014,vab_industria_mil_reais,5570,5570,-1734931.276,66893050.096,0
2014,vab_servicos_mil_reais,5570,5570,1901.226,406109012.608,0
2014,vab_total_mil_reais,5570,5570,11513.999,510873162.176,0
2015,cempre_pessoal_assalariado_ate2021,5570,5570,63.0,5088457.0,0
2015,cempre_pessoal_ocupado_ate2021,5570,5570,96.0,5848294.0,0
2015,cempre_remuneracoes_mil_reais_ate2021,5570,5570,1137.0,234039024.0,0
2015,cempre_salario_medio_salarios_minimos_ate2021,5570,5570,0.5,7.5,0
2015,cempre_unidades_locais_ate2021,5570,5570,7.0,582367.0,0
2015,educ_abandono_fundamental_anos_finais_pct,5570,5570,0.0,28.8,0
2015,educ_abandono_fundamental_anos_iniciais_pct,5570,5570,0.0,14.5,0
2015,educ_abandono_fundamental_pct,5570,5570,0.0,17.5,0
2015,educ_abandono_medio_pct,5570,5560,0.0,46.6,10
2015,educ_aprovacao_fundamental_anos_finais_pct,5570,5570,42.9,100.0,0
